taskId,resourceId,plannedStartHour,plannedEndHour,durationHours,totalScore,feasible
TASK_1,RES_2,0.0,19.0,19.0,83.64,True
TASK_2,RES_3,266.0,302.0,36.0,83.64,True
TASK_3,RES_5,23.0,43.0,20.0,83.64,True
TASK_4,RES_5,66.0,102.0,36.0,83.64,True
TASK_5,RES_1,100.0,138.0,38.0,83.64,True
TASK_6,RES_2,154.0,166.0,12.0,83.64,True
TASK_7,RES_5,283.0,294.0,11.0,83.64,True
TASK_8,RES_5,244.0,283.0,39.0,83.64,True
TASK_9,RES_3,302.0,311.0,9.0,83.64,True
TASK_10,RES_2,316.0,337.0,21.0,83.64,True
TASK_11,RES_2,337.0,375.0,38.0,83.64,True
TASK_12,RES_3,0.0,9.0,9.0,83.64,True
TASK_13,RES_5,0.0,23.0,23.0,83.64,True
TASK_14,RES_2,246.0,277.0,31.0,83.64,True
TASK_15,RES_2,277.0,316.0,39.0,83.64,True
TASK_16,RES_5,294.0,308.0,14.0,83.64,True
TASK_17,RES_1,308.0,322.0,14.0,83.64,True
TASK_18,RES_1,0.0,35.0,35.0,83.64,True
TASK_19,RES_5,308.0,342.0,34.0,83.64,True
TASK_20,RES_1,342.0,380.0,38.0,83.64,True
TASK_21,RES_1,380.0,389.0,9.0,83.64,True
TASK_22,RES_3,342.0,362.0,20.0,83.64,True
TASK_23,RES_5,426.0,445.0,19.0,83.64,True
TASK_24,RES_2,375.0,397.0,22.0,83.64,True
TASK_25,RES_1,389.0,409.0,20.0,83.64,True
TASK_26,RES_1,409.0,442.0,33.0,83.64,True
TASK_27,RES_5,342.0,378.0,36.0,83.64,True
TASK_28,RES_5,378.0,388.0,10.0,83.64,True
TASK_29,RES_2,397.0,415.0,18.0,83.64,True
TASK_30,RES_2,415.0,431.0,16.0,83.64,True
TASK_31,RES_3,362.0,377.0,15.0,83.64,True
TASK_32,RES_1,442.0,454.0,12.0,83.64,True
TASK_33,RES_5,388.0,426.0,38.0,83.64,True
TASK_34,RES_2,431.0,443.0,12.0,83.64,True
TASK_35,RES_1,454.0,463.0,9.0,83.64,True
TASK_36,RES_5,43.0,66.0,23.0,83.64,True
TASK_37,RES_2,463.0,489.0,26.0,83.64,True
TASK_38,RES_1,35.0,48.0,13.0,83.64,True
TASK_39,RES_2,19.0,39.0,20.0,83.64,True
TASK_40,RES_1,463.0,476.0,13.0,83.64,True
TASK_41,RES_1,48.0,80.0,32.0,83.64,True
TASK_42,RES_2,39.0,56.0,17.0,83.64,True
TASK_43,RES_5,102.0,139.0,37.0,83.64,True
TASK_44,RES_1,80.0,100.0,20.0,83.64,True
TASK_45,RES_3,9.0,35.0,26.0,83.64,True
TASK_46,RES_2,56.0,66.0,10.0,83.64,True
TASK_47,RES_3,35.0,65.0,30.0,83.64,True
TASK_48,RES_2,66.0,103.0,37.0,83.64,True
TASK_49,RES_4,0.0,39.0,39.0,83.64,True
TASK_50,RES_2,103.0,137.0,34.0,83.64,True
TASK_51,RES_1,138.0,148.0,10.0,83.64,True
TASK_52,RES_5,139.0,178.0,39.0,83.64,True
TASK_53,RES_1,148.0,165.0,17.0,83.64,True
TASK_54,RES_5,178.0,215.0,37.0,83.64,True
TASK_55,RES_3,65.0,75.0,10.0,83.64,True
TASK_56,RES_1,165.0,179.0,14.0,83.64,True
TASK_57,RES_1,179.0,199.0,20.0,83.64,True
TASK_58,RES_2,137.0,154.0,17.0,83.64,True
TASK_59,RES_3,75.0,113.0,38.0,83.64,True
TASK_60,RES_5,215.0,244.0,29.0,83.64,True
TASK_61,RES_4,39.0,73.0,34.0,83.64,True
TASK_62,RES_2,166.0,206.0,40.0,83.64,True
TASK_63,RES_1,199.0,234.0,35.0,83.64,True
TASK_64,RES_1,234.0,249.0,15.0,83.64,True
TASK_65,RES_4,73.0,111.0,38.0,83.64,True
TASK_66,RES_3,113.0,148.0,35.0,83.64,True
TASK_67,RES_1,249.0,273.0,24.0,83.64,True
TASK_68,RES_3,148.0,182.0,34.0,83.64,True
TASK_69,RES_3,182.0,200.0,18.0,83.64,True
TASK_70,RES_2,206.0,246.0,40.0,83.64,True
TASK_71,RES_3,200.0,210.0,10.0,83.64,True
TASK_72,RES_3,210.0,228.0,18.0,83.64,True
TASK_73,RES_4,228.0,256.0,28.0,83.64,True
TASK_74,RES_3,228.0,266.0,38.0,83.64,True
TASK_75,RES_4,111.0,146.0,35.0,83.64,True
TASK_76,RES_1,273.0,295.0,22.0,83.64,True
TASK_77,RES_4,146.0,186.0,40.0,83.64,True
TASK_78,RES_4,186.0,200.0,14.0,83.64,True
