"taskCode","taskName","description","estimatedHours","deadline","priority","dependencies","requiredSkills","kpiImpacts"
"TASK_1","MSRCPSP task 1","Source 100_5_20_9_D3.def task 1","19","","MEDIUM","","Q4:2","PROJECT_COMPLETION:0.01282051,Q4_DELIVERY_COMPLETION:0.14285714"
"TASK_2","MSRCPSP task 2","Source 100_5_20_9_D3.def task 2","36","","MEDIUM","TASK_1","Q0:2","PROJECT_COMPLETION:0.01282051,Q0_DELIVERY_COMPLETION:0.14285714"
"TASK_3","MSRCPSP task 3","Source 100_5_20_9_D3.def task 3","20","","MEDIUM","","Q3:3","PROJECT_COMPLETION:0.01282051,Q3_DELIVERY_COMPLETION:0.0625"
"TASK_4","MSRCPSP task 4","Source 100_5_20_9_D3.def task 4","36","","MEDIUM","","Q1:3","PROJECT_COMPLETION:0.01282051,Q1_DELIVERY_COMPLETION:0.07692308"
"TASK_5","MSRCPSP task 5","Source 100_5_20_9_D3.def task 5","38","","MEDIUM","","Q6:1","PROJECT_COMPLETION:0.01282051,Q6_DELIVERY_COMPLETION:0.07692308"
"TASK_6","MSRCPSP task 6","Source 100_5_20_9_D3.def task 6","12","","MEDIUM","","Q2:2","PROJECT_COMPLETION:0.01282051,Q2_DELIVERY_COMPLETION:0.07692308"
"TASK_7","MSRCPSP task 7","Source 100_5_20_9_D3.def task 7","11","","MEDIUM","TASK_6","Q2:2","PROJECT_COMPLETION:0.01282051,Q2_DELIVERY_COMPLETION:0.07692308"
"TASK_8","MSRCPSP task 8","Source 100_5_20_9_D3.def task 8","39","","MEDIUM","","Q0:1","PROJECT_COMPLETION:0.01282051,Q0_DELIVERY_COMPLETION:0.14285714"
"TASK_9","MSRCPSP task 9","Source 100_5_20_9_D3.def task 9","9","","MEDIUM","TASK_8","Q7:1","PROJECT_COMPLETION:0.01282051,Q7_DELIVERY_COMPLETION:1"
"TASK_10","MSRCPSP task 10","Source 100_5_20_9_D3.def task 10","21","","MEDIUM","TASK_8","Q6:1","PROJECT_COMPLETION:0.01282051,Q6_DELIVERY_COMPLETION:0.07692308"
"TASK_11","MSRCPSP task 11","Source 100_5_20_9_D3.def task 11","38","","MEDIUM","TASK_8","Q8:3","PROJECT_COMPLETION:0.01282051,Q8_DELIVERY_COMPLETION:0.16666667"
"TASK_12","MSRCPSP task 12","Source 100_5_20_9_D3.def task 12","9","","MEDIUM","","Q0:2","PROJECT_COMPLETION:0.01282051,Q0_DELIVERY_COMPLETION:0.14285714"
"TASK_13","MSRCPSP task 13","Source 100_5_20_9_D3.def task 13","23","","MEDIUM","","Q3:3","PROJECT_COMPLETION:0.01282051,Q3_DELIVERY_COMPLETION:0.0625"
"TASK_14","MSRCPSP task 14","Source 100_5_20_9_D3.def task 14","31","","MEDIUM","TASK_13","Q4:3","PROJECT_COMPLETION:0.01282051,Q4_DELIVERY_COMPLETION:0.14285714"
"TASK_15","MSRCPSP task 15","Source 100_5_20_9_D3.def task 15","39","","MEDIUM","TASK_13","Q4:3","PROJECT_COMPLETION:0.01282051,Q4_DELIVERY_COMPLETION:0.14285714"
"TASK_16","MSRCPSP task 16","Source 100_5_20_9_D3.def task 16","14","","MEDIUM","TASK_13","Q1:3","PROJECT_COMPLETION:0.01282051,Q1_DELIVERY_COMPLETION:0.07692308"
"TASK_17","MSRCPSP task 17","Source 100_5_20_9_D3.def task 17","14","","MEDIUM","TASK_16,TASK_13","Q3:1","PROJECT_COMPLETION:0.01282051,Q3_DELIVERY_COMPLETION:0.0625"
"TASK_18","MSRCPSP task 18","Source 100_5_20_9_D3.def task 18","35","","MEDIUM","","Q6:1","PROJECT_COMPLETION:0.01282051,Q6_DELIVERY_COMPLETION:0.07692308"
"TASK_19","MSRCPSP task 19","Source 100_5_20_9_D3.def task 19","34","","MEDIUM","TASK_18","Q3:2","PROJECT_COMPLETION:0.01282051,Q3_DELIVERY_COMPLETION:0.0625"
"TASK_20","MSRCPSP task 20","Source 100_5_20_9_D3.def task 20","38","","MEDIUM","TASK_19,TASK_9","Q4:2","PROJECT_COMPLETION:0.01282051,Q4_DELIVERY_COMPLETION:0.14285714"
"TASK_21","MSRCPSP task 21","Source 100_5_20_9_D3.def task 21","9","","MEDIUM","TASK_19,TASK_9","Q6:1","PROJECT_COMPLETION:0.01282051,Q6_DELIVERY_COMPLETION:0.07692308"
"TASK_22","MSRCPSP task 22","Source 100_5_20_9_D3.def task 22","20","","MEDIUM","TASK_19,TASK_9","Q0:3","PROJECT_COMPLETION:0.01282051,Q0_DELIVERY_COMPLETION:0.14285714"
"TASK_23","MSRCPSP task 23","Source 100_5_20_9_D3.def task 23","19","","MEDIUM","TASK_22,TASK_19,TASK_9","Q3:3","PROJECT_COMPLETION:0.01282051,Q3_DELIVERY_COMPLETION:0.0625"
"TASK_24","MSRCPSP task 24","Source 100_5_20_9_D3.def task 24","22","","MEDIUM","TASK_19,TASK_9","Q4:3","PROJECT_COMPLETION:0.01282051,Q4_DELIVERY_COMPLETION:0.14285714"
"TASK_25","MSRCPSP task 25","Source 100_5_20_9_D3.def task 25","20","","MEDIUM","TASK_19,TASK_9","Q1:2","PROJECT_COMPLETION:0.01282051,Q1_DELIVERY_COMPLETION:0.07692308"
"TASK_26","MSRCPSP task 26","Source 100_5_20_9_D3.def task 26","33","","MEDIUM","TASK_19,TASK_9","Q1:1","PROJECT_COMPLETION:0.01282051,Q1_DELIVERY_COMPLETION:0.07692308"
"TASK_27","MSRCPSP task 27","Source 100_5_20_9_D3.def task 27","36","","MEDIUM","TASK_19,TASK_9","Q3:1","PROJECT_COMPLETION:0.01282051,Q3_DELIVERY_COMPLETION:0.0625"
"TASK_28","MSRCPSP task 28","Source 100_5_20_9_D3.def task 28","10","","MEDIUM","TASK_19,TASK_9","Q1:3","PROJECT_COMPLETION:0.01282051,Q1_DELIVERY_COMPLETION:0.07692308"
"TASK_29","MSRCPSP task 29","Source 100_5_20_9_D3.def task 29","18","","MEDIUM","TASK_28,TASK_19,TASK_9","Q6:1","PROJECT_COMPLETION:0.01282051,Q6_DELIVERY_COMPLETION:0.07692308"
"TASK_30","MSRCPSP task 30","Source 100_5_20_9_D3.def task 30","16","","MEDIUM","TASK_21,TASK_28,TASK_19,TASK_9","Q3:3","PROJECT_COMPLETION:0.01282051,Q3_DELIVERY_COMPLETION:0.0625"
"TASK_31","MSRCPSP task 31","Source 100_5_20_9_D3.def task 31","15","","MEDIUM","TASK_19,TASK_9","Q5:2","PROJECT_COMPLETION:0.01282051,Q5_DELIVERY_COMPLETION:0.5"
"TASK_32","MSRCPSP task 32","Source 100_5_20_9_D3.def task 32","12","","MEDIUM","TASK_19,TASK_9","Q1:1","PROJECT_COMPLETION:0.01282051,Q1_DELIVERY_COMPLETION:0.07692308"
"TASK_33","MSRCPSP task 33","Source 100_5_20_9_D3.def task 33","38","","MEDIUM","TASK_19,TASK_9","Q1:3","PROJECT_COMPLETION:0.01282051,Q1_DELIVERY_COMPLETION:0.07692308"
"TASK_34","MSRCPSP task 34","Source 100_5_20_9_D3.def task 34","12","","MEDIUM","TASK_33","Q3:2","PROJECT_COMPLETION:0.01282051,Q3_DELIVERY_COMPLETION:0.0625"
"TASK_35","MSRCPSP task 35","Source 100_5_20_9_D3.def task 35","9","","MEDIUM","TASK_30,TASK_33","Q6:2","PROJECT_COMPLETION:0.01282051,Q6_DELIVERY_COMPLETION:0.07692308"
