taskCode,taskName,description,estimatedHours,deadline,priority,dependencies,requiredSkills,kpiImpacts
TASK_1,MSRCPSP task 1,Source 10_3_5_3.def task 1,37,,MEDIUM,,Q2:2,PROJECT_COMPLETION:0.1
TASK_2,MSRCPSP task 2,Source 10_3_5_3.def task 2,36,,MEDIUM,,Q2:3,PROJECT_COMPLETION:0.1
TASK_3,MSRCPSP task 3,Source 10_3_5_3.def task 3,21,,MEDIUM,,Q0:2,PROJECT_COMPLETION:0.1
TASK_4,MSRCPSP task 4,Source 10_3_5_3.def task 4,23,,MEDIUM,,Q1:1,PROJECT_COMPLETION:0.1
TASK_5,MSRCPSP task 5,Source 10_3_5_3.def task 5,36,,MEDIUM,,Q0:2,PROJECT_COMPLETION:0.1
TASK_6,MSRCPSP task 6,Source 10_3_5_3.def task 6,13,,MEDIUM,,Q2:2,PROJECT_COMPLETION:0.1
TASK_7,MSRCPSP task 7,Source 10_3_5_3.def task 7,13,,MEDIUM,"TASK_4,TASK_5",Q1:1,PROJECT_COMPLETION:0.1
TASK_8,MSRCPSP task 8,Source 10_3_5_3.def task 8,37,,MEDIUM,,Q0:2,PROJECT_COMPLETION:0.1
TASK_9,MSRCPSP task 9,Source 10_3_5_3.def task 9,36,,MEDIUM,TASK_7,Q2:2,PROJECT_COMPLETION:0.1
TASK_10,MSRCPSP task 10,Source 10_3_5_3.def task 10,19,,MEDIUM,TASK_3,Q1:1,PROJECT_COMPLETION:0.1
