taskId,resourceId,plannedStartHour,plannedEndHour,durationHours,totalScore,feasible
TASK_1,RES_4,0.0,26.0,26.0,88.85,True
TASK_2,RES_3,0.0,21.0,21.0,88.85,True
TASK_3,RES_4,21.0,45.0,24.0,88.85,True
TASK_4,RES_4,21.0,42.0,21.0,88.85,True
TASK_5,RES_2,0.0,39.0,39.0,88.85,True
TASK_6,RES_1,0.0,33.0,33.0,88.85,True
TASK_7,RES_3,33.0,46.0,13.0,88.85,True
TASK_8,RES_2,0.0,12.0,12.0,88.85,True
TASK_9,RES_5,46.0,55.0,9.0,88.85,True
TASK_10,RES_6,55.0,71.0,16.0,88.85,True
TASK_11,RES_3,0.0,9.0,9.0,88.85,True
TASK_12,RES_2,0.0,36.0,36.0,88.85,True
TASK_13,RES_3,55.0,69.0,14.0,88.85,True
TASK_14,RES_5,71.0,102.0,31.0,88.85,True
TASK_15,RES_3,0.0,17.0,17.0,88.85,True
