Dataset,Source,#Tasks,#Resources,#Skills,#Dependencies,Total Duration,Mean Duration,DAG Density,#Topo Levels
10_3_5_3,Small,10,3,3,4,271,27.1,0.0889,3
10_5_8_5,Small,10,5,5,7,218,21.8,0.1556,3
10_7_10_7,Small,10,7,6,8,223,22.3,0.1778,4
15_3_5_3,Small,15,3,3,4,373,24.9,0.0381,3
15_6_10_6,Small,15,6,9,10,321,21.4,0.0952,5
100_5_20_9_D3,iMOPSE,78,5,9,52,1931,24.8,0.0173,6
100_10_27_9_D2,iMOPSE,81,10,9,54,2053,25.3,0.0167,7
100_10_512_10_A,GenRegular,100,10,10,484,2524,25.2,0.0978,19
100_20_23_9_D1,iMOPSE,84,20,9,31,2302,27.4,0.0089,7
100_20_512_10_A,GenRegular,100,20,10,484,2391,23.9,0.0978,22
200_10_135_9_D6,iMOPSE,161,10,9,321,3961,24.6,0.0249,22
200_20_150_9_D5,iMOPSE,165,20,9,271,4098,24.8,0.02,35
200_20_512_10_A,GenRegular,200,20,10,500,4745,23.7,0.0251,13
200_40_130_9_D4,iMOPSE,154,40,9,376,3890,25.3,0.0319,19
200_40_512_10_A,GenRegular,200,40,10,502,4886,24.4,0.0252,12
500_20_512_10_A,GenBig,500,20,10,511,12029,24.1,0.0041,8
