kpiCode,kpiName,description,unit,formula,category,dataType,minValue,maxValue,higherIsBetter
PROJECT_COMPLETION,Project completion,Weighted delivery completion for all tasks adjusted by skill fit,PERCENT,sum(task impact * target * skill_factor),DELIVERY,NUMERIC,0,100,true
Q0_DELIVERY_COMPLETION,Q0 delivery completion,Weighted delivery completion for tasks requiring Q0 adjusted by skill fit,PERCENT,sum(task impact * target * skill_factor),DELIVERY,NUMERIC,0,100,true
Q1_DELIVERY_COMPLETION,Q1 delivery completion,Weighted delivery completion for tasks requiring Q1 adjusted by skill fit,PERCENT,sum(task impact * target * skill_factor),DELIVERY,NUMERIC,0,100,true
Q2_DELIVERY_COMPLETION,Q2 delivery completion,Weighted delivery completion for tasks requiring Q2 adjusted by skill fit,PERCENT,sum(task impact * target * skill_factor),DELIVERY,NUMERIC,0,100,true
Q3_DELIVERY_COMPLETION,Q3 delivery completion,Weighted delivery completion for tasks requiring Q3 adjusted by skill fit,PERCENT,sum(task impact * target * skill_factor),DELIVERY,NUMERIC,0,100,true
Q4_DELIVERY_COMPLETION,Q4 delivery completion,Weighted delivery completion for tasks requiring Q4 adjusted by skill fit,PERCENT,sum(task impact * target * skill_factor),DELIVERY,NUMERIC,0,100,true
Q5_DELIVERY_COMPLETION,Q5 delivery completion,Weighted delivery completion for tasks requiring Q5 adjusted by skill fit,PERCENT,sum(task impact * target * skill_factor),DELIVERY,NUMERIC,0,100,true
Q6_DELIVERY_COMPLETION,Q6 delivery completion,Weighted delivery completion for tasks requiring Q6 adjusted by skill fit,PERCENT,sum(task impact * target * skill_factor),DELIVERY,NUMERIC,0,100,true
Q7_DELIVERY_COMPLETION,Q7 delivery completion,Weighted delivery completion for tasks requiring Q7 adjusted by skill fit,PERCENT,sum(task impact * target * skill_factor),DELIVERY,NUMERIC,0,100,true
Q8_DELIVERY_COMPLETION,Q8 delivery completion,Weighted delivery completion for tasks requiring Q8 adjusted by skill fit,PERCENT,sum(task impact * target * skill_factor),DELIVERY,NUMERIC,0,100,true
