resourceId,resourceName,resourceType,capacity,skills,currentLoad,availabilityFrom,availabilityTo,availableHours,costPerHour
RES_1,MSRCPSP Resource 1,HUMAN,116,"Q3:3, Q0:3, Q5:1, Q2:2, Q6:2, Q7:1",0,2026-04-01,2026-04-30,116,31.0
RES_2,MSRCPSP Resource 2,HUMAN,116,"Q8:1, Q1:3, Q7:3, Q5:1, Q6:3, Q3:1",0,2026-04-01,2026-04-30,116,12.8
RES_3,MSRCPSP Resource 3,HUMAN,116,"Q8:2, Q5:1, Q7:1, Q3:1, Q6:2, Q1:1",0,2026-04-01,2026-04-30,116,13.0
RES_4,MSRCPSP Resource 4,HUMAN,116,"Q6:2, Q4:1, Q0:3, Q8:3, Q1:1, Q5:3",0,2026-04-01,2026-04-30,116,36.8
RES_5,MSRCPSP Resource 5,HUMAN,116,"Q0:1, Q5:3, Q7:1, Q6:3, Q8:2, Q1:3",0,2026-04-01,2026-04-30,116,23.5
RES_6,MSRCPSP Resource 6,HUMAN,116,"Q7:3, Q5:2, Q1:2, Q6:3, Q8:1, Q2:1",0,2026-04-01,2026-04-30,116,11.1
RES_7,MSRCPSP Resource 7,HUMAN,116,"Q2:2, Q7:1, Q6:2, Q3:1, Q8:1, Q4:1",0,2026-04-01,2026-04-30,116,25.3
RES_8,MSRCPSP Resource 8,HUMAN,116,"Q1:3, Q5:1, Q8:3, Q3:2, Q0:1, Q6:3",0,2026-04-01,2026-04-30,116,29.6
RES_9,MSRCPSP Resource 9,HUMAN,116,"Q3:3, Q2:3, Q5:2, Q0:2, Q6:3, Q4:2",0,2026-04-01,2026-04-30,116,17.9
RES_10,MSRCPSP Resource 10,HUMAN,116,"Q5:3, Q7:2, Q8:3, Q3:2, Q0:1, Q1:3",0,2026-04-01,2026-04-30,116,21.0
RES_11,MSRCPSP Resource 11,HUMAN,116,"Q5:1, Q0:2, Q2:1, Q3:2, Q4:3, Q7:3",0,2026-04-01,2026-04-30,116,22.4
RES_12,MSRCPSP Resource 12,HUMAN,116,"Q8:1, Q5:2, Q7:2, Q3:1, Q1:3, Q0:3",0,2026-04-01,2026-04-30,116,17.2
RES_13,MSRCPSP Resource 13,HUMAN,116,"Q6:3, Q0:1, Q5:2, Q4:1, Q8:1, Q7:2",0,2026-04-01,2026-04-30,116,15.9
RES_14,MSRCPSP Resource 14,HUMAN,116,"Q2:1, Q1:2, Q7:1, Q8:2, Q6:2, Q3:2",0,2026-04-01,2026-04-30,116,24.6
RES_15,MSRCPSP Resource 15,HUMAN,116,"Q8:2, Q6:3, Q2:3, Q4:1, Q3:3, Q1:1",0,2026-04-01,2026-04-30,116,28.8
RES_16,MSRCPSP Resource 16,HUMAN,116,"Q8:1, Q2:2, Q3:2, Q7:1, Q6:1, Q4:3",0,2026-04-01,2026-04-30,116,33.1
RES_17,MSRCPSP Resource 17,HUMAN,116,"Q5:3, Q4:3, Q2:1, Q0:1, Q8:2, Q7:2",0,2026-04-01,2026-04-30,116,14.1
RES_18,MSRCPSP Resource 18,HUMAN,116,"Q3:1, Q6:3, Q0:1, Q5:3, Q4:1, Q2:3",0,2026-04-01,2026-04-30,116,14.3
RES_19,MSRCPSP Resource 19,HUMAN,116,"Q4:2, Q2:2, Q1:3, Q6:1, Q8:2, Q0:1",0,2026-04-01,2026-04-30,116,31.2
RES_20,MSRCPSP Resource 20,HUMAN,116,"Q8:1, Q4:3, Q0:1, Q1:1, Q6:3, Q7:3",0,2026-04-01,2026-04-30,116,39.1
