taskCode,taskName,description,estimatedHours,deadline,priority,dependencies,requiredSkills,kpiImpacts
TASK_1,MSRCPSP task 1,Source 100_20_23_9_D1.def task 1,19,,MEDIUM,,Q7:1,"PROJECT_COMPLETION:0.01190476,Q7_DELIVERY_COMPLETION:0.11111111"
TASK_2,MSRCPSP task 2,Source 100_20_23_9_D1.def task 2,35,,MEDIUM,,Q4:2,"PROJECT_COMPLETION:0.01190476,Q4_DELIVERY_COMPLETION:0.12500000"
TASK_3,MSRCPSP task 3,Source 100_20_23_9_D1.def task 3,21,,MEDIUM,,Q8:2,"PROJECT_COMPLETION:0.01190476,Q8_DELIVERY_COMPLETION:0.07692308"
TASK_4,MSRCPSP task 4,Source 100_20_23_9_D1.def task 4,20,,MEDIUM,TASK_2,Q0:1,"PROJECT_COMPLETION:0.01190476,Q0_DELIVERY_COMPLETION:0.07692308"
TASK_5,MSRCPSP task 5,Source 100_20_23_9_D1.def task 5,22,,MEDIUM,TASK_4,Q1:3,"PROJECT_COMPLETION:0.01190476,Q1_DELIVERY_COMPLETION:0.12500000"
TASK_6,MSRCPSP task 6,Source 100_20_23_9_D1.def task 6,15,,MEDIUM,TASK_4,Q1:2,"PROJECT_COMPLETION:0.01190476,Q1_DELIVERY_COMPLETION:0.12500000"
TASK_7,MSRCPSP task 7,Source 100_20_23_9_D1.def task 7,18,,MEDIUM,TASK_4,Q1:3,"PROJECT_COMPLETION:0.01190476,Q1_DELIVERY_COMPLETION:0.12500000"
TASK_8,MSRCPSP task 8,Source 100_20_23_9_D1.def task 8,39,,MEDIUM,,Q6:2,"PROJECT_COMPLETION:0.01190476,Q6_DELIVERY_COMPLETION:0.08333333"
TASK_9,MSRCPSP task 9,Source 100_20_23_9_D1.def task 9,16,,MEDIUM,,Q0:1,"PROJECT_COMPLETION:0.01190476,Q0_DELIVERY_COMPLETION:0.07692308"
TASK_10,MSRCPSP task 10,Source 100_20_23_9_D1.def task 10,18,,MEDIUM,,Q0:3,"PROJECT_COMPLETION:0.01190476,Q0_DELIVERY_COMPLETION:0.07692308"
TASK_11,MSRCPSP task 11,Source 100_20_23_9_D1.def task 11,29,,MEDIUM,,Q5:1,"PROJECT_COMPLETION:0.01190476,Q5_DELIVERY_COMPLETION:0.16666667"
TASK_12,MSRCPSP task 12,Source 100_20_23_9_D1.def task 12,37,,MEDIUM,,Q8:2,"PROJECT_COMPLETION:0.01190476,Q8_DELIVERY_COMPLETION:0.07692308"
TASK_13,MSRCPSP task 13,Source 100_20_23_9_D1.def task 13,34,,MEDIUM,TASK_4,Q8:1,"PROJECT_COMPLETION:0.01190476,Q8_DELIVERY_COMPLETION:0.07692308"
TASK_14,MSRCPSP task 14,Source 100_20_23_9_D1.def task 14,19,,MEDIUM,TASK_4,Q0:1,"PROJECT_COMPLETION:0.01190476,Q0_DELIVERY_COMPLETION:0.07692308"
TASK_15,MSRCPSP task 15,Source 100_20_23_9_D1.def task 15,19,,MEDIUM,,Q1:3,"PROJECT_COMPLETION:0.01190476,Q1_DELIVERY_COMPLETION:0.12500000"
TASK_16,MSRCPSP task 16,Source 100_20_23_9_D1.def task 16,9,,MEDIUM,,Q7:2,"PROJECT_COMPLETION:0.01190476,Q7_DELIVERY_COMPLETION:0.11111111"
TASK_17,MSRCPSP task 17,Source 100_20_23_9_D1.def task 17,33,,MEDIUM,,Q2:3,"PROJECT_COMPLETION:0.01190476,Q2_DELIVERY_COMPLETION:0.20000000"
TASK_18,MSRCPSP task 18,Source 100_20_23_9_D1.def task 18,27,,MEDIUM,,Q7:1,"PROJECT_COMPLETION:0.01190476,Q7_DELIVERY_COMPLETION:0.11111111"
TASK_19,MSRCPSP task 19,Source 100_20_23_9_D1.def task 19,9,,MEDIUM,TASK_5,Q3:2,"PROJECT_COMPLETION:0.01190476,Q3_DELIVERY_COMPLETION:0.10000000"
TASK_20,MSRCPSP task 20,Source 100_20_23_9_D1.def task 20,20,,MEDIUM,TASK_13,Q0:1,"PROJECT_COMPLETION:0.01190476,Q0_DELIVERY_COMPLETION:0.07692308"
TASK_21,MSRCPSP task 21,Source 100_20_23_9_D1.def task 21,25,,MEDIUM,,Q4:2,"PROJECT_COMPLETION:0.01190476,Q4_DELIVERY_COMPLETION:0.12500000"
TASK_22,MSRCPSP task 22,Source 100_20_23_9_D1.def task 22,23,,MEDIUM,,Q6:3,"PROJECT_COMPLETION:0.01190476,Q6_DELIVERY_COMPLETION:0.08333333"
TASK_23,MSRCPSP task 23,Source 100_20_23_9_D1.def task 23,18,,MEDIUM,TASK_22,Q0:1,"PROJECT_COMPLETION:0.01190476,Q0_DELIVERY_COMPLETION:0.07692308"
TASK_24,MSRCPSP task 24,Source 100_20_23_9_D1.def task 24,35,,MEDIUM,TASK_23,Q6:2,"PROJECT_COMPLETION:0.01190476,Q6_DELIVERY_COMPLETION:0.08333333"
TASK_25,MSRCPSP task 25,Source 100_20_23_9_D1.def task 25,34,,MEDIUM,,Q7:3,"PROJECT_COMPLETION:0.01190476,Q7_DELIVERY_COMPLETION:0.11111111"
TASK_26,MSRCPSP task 26,Source 100_20_23_9_D1.def task 26,20,,MEDIUM,,Q0:1,"PROJECT_COMPLETION:0.01190476,Q0_DELIVERY_COMPLETION:0.07692308"
TASK_27,MSRCPSP task 27,Source 100_20_23_9_D1.def task 27,24,,MEDIUM,TASK_26,Q6:3,"PROJECT_COMPLETION:0.01190476,Q6_DELIVERY_COMPLETION:0.08333333"
TASK_28,MSRCPSP task 28,Source 100_20_23_9_D1.def task 28,20,,MEDIUM,TASK_27,Q2:2,"PROJECT_COMPLETION:0.01190476,Q2_DELIVERY_COMPLETION:0.20000000"
TASK_29,MSRCPSP task 29,Source 100_20_23_9_D1.def task 29,40,,MEDIUM,,Q1:2,"PROJECT_COMPLETION:0.01190476,Q1_DELIVERY_COMPLETION:0.12500000"
TASK_30,MSRCPSP task 30,Source 100_20_23_9_D1.def task 30,27,,MEDIUM,,Q8:1,"PROJECT_COMPLETION:0.01190476,Q8_DELIVERY_COMPLETION:0.07692308"
TASK_31,MSRCPSP task 31,Source 100_20_23_9_D1.def task 31,39,,MEDIUM,,Q7:1,"PROJECT_COMPLETION:0.01190476,Q7_DELIVERY_COMPLETION:0.11111111"
TASK_32,MSRCPSP task 32,Source 100_20_23_9_D1.def task 32,39,,MEDIUM,,Q3:2,"PROJECT_COMPLETION:0.01190476,Q3_DELIVERY_COMPLETION:0.10000000"
TASK_33,MSRCPSP task 33,Source 100_20_23_9_D1.def task 33,37,,MEDIUM,,Q6:3,"PROJECT_COMPLETION:0.01190476,Q6_DELIVERY_COMPLETION:0.08333333"
TASK_34,MSRCPSP task 34,Source 100_20_23_9_D1.def task 34,24,,MEDIUM,TASK_19,Q5:2,"PROJECT_COMPLETION:0.01190476,Q5_DELIVERY_COMPLETION:0.16666667"
TASK_35,MSRCPSP task 35,Source 100_20_23_9_D1.def task 35,24,,MEDIUM,,Q6:1,"PROJECT_COMPLETION:0.01190476,Q6_DELIVERY_COMPLETION:0.08333333"
TASK_36,MSRCPSP task 36,Source 100_20_23_9_D1.def task 36,17,,MEDIUM,,Q8:2,"PROJECT_COMPLETION:0.01190476,Q8_DELIVERY_COMPLETION:0.07692308"
TASK_37,MSRCPSP task 37,Source 100_20_23_9_D1.def task 37,20,,MEDIUM,TASK_36,Q2:3,"PROJECT_COMPLETION:0.01190476,Q2_DELIVERY_COMPLETION:0.20000000"
TASK_38,MSRCPSP task 38,Source 100_20_23_9_D1.def task 38,21,,MEDIUM,"TASK_37,TASK_36",Q2:3,"PROJECT_COMPLETION:0.01190476,Q2_DELIVERY_COMPLETION:0.20000000"
TASK_39,MSRCPSP task 39,Source 100_20_23_9_D1.def task 39,39,,MEDIUM,,Q7:2,"PROJECT_COMPLETION:0.01190476,Q7_DELIVERY_COMPLETION:0.11111111"
TASK_40,MSRCPSP task 40,Source 100_20_23_9_D1.def task 40,35,,MEDIUM,,Q6:3,"PROJECT_COMPLETION:0.01190476,Q6_DELIVERY_COMPLETION:0.08333333"
TASK_41,MSRCPSP task 41,Source 100_20_23_9_D1.def task 41,25,,MEDIUM,,Q5:1,"PROJECT_COMPLETION:0.01190476,Q5_DELIVERY_COMPLETION:0.16666667"
TASK_42,MSRCPSP task 42,Source 100_20_23_9_D1.def task 42,26,,MEDIUM,,Q5:2,"PROJECT_COMPLETION:0.01190476,Q5_DELIVERY_COMPLETION:0.16666667"
TASK_43,MSRCPSP task 43,Source 100_20_23_9_D1.def task 43,17,,MEDIUM,,Q0:1,"PROJECT_COMPLETION:0.01190476,Q0_DELIVERY_COMPLETION:0.07692308"
TASK_44,MSRCPSP task 44,Source 100_20_23_9_D1.def task 44,38,,MEDIUM,,Q8:2,"PROJECT_COMPLETION:0.01190476,Q8_DELIVERY_COMPLETION:0.07692308"
TASK_45,MSRCPSP task 45,Source 100_20_23_9_D1.def task 45,23,,MEDIUM,,Q6:3,"PROJECT_COMPLETION:0.01190476,Q6_DELIVERY_COMPLETION:0.08333333"
TASK_46,MSRCPSP task 46,Source 100_20_23_9_D1.def task 46,25,,MEDIUM,TASK_45,Q8:1,"PROJECT_COMPLETION:0.01190476,Q8_DELIVERY_COMPLETION:0.07692308"
TASK_47,MSRCPSP task 47,Source 100_20_23_9_D1.def task 47,35,,MEDIUM,TASK_46,Q0:1,"PROJECT_COMPLETION:0.01190476,Q0_DELIVERY_COMPLETION:0.07692308"
TASK_48,MSRCPSP task 48,Source 100_20_23_9_D1.def task 48,36,,MEDIUM,,Q3:2,"PROJECT_COMPLETION:0.01190476,Q3_DELIVERY_COMPLETION:0.10000000"
TASK_49,MSRCPSP task 49,Source 100_20_23_9_D1.def task 49,37,,MEDIUM,,Q1:1,"PROJECT_COMPLETION:0.01190476,Q1_DELIVERY_COMPLETION:0.12500000"
TASK_50,MSRCPSP task 50,Source 100_20_23_9_D1.def task 50,31,,MEDIUM,TASK_39,Q3:1,"PROJECT_COMPLETION:0.01190476,Q3_DELIVERY_COMPLETION:0.10000000"
TASK_51,MSRCPSP task 51,Source 100_20_23_9_D1.def task 51,37,,MEDIUM,,Q1:3,"PROJECT_COMPLETION:0.01190476,Q1_DELIVERY_COMPLETION:0.12500000"
TASK_52,MSRCPSP task 52,Source 100_20_23_9_D1.def task 52,13,,MEDIUM,TASK_47,Q3:1,"PROJECT_COMPLETION:0.01190476,Q3_DELIVERY_COMPLETION:0.10000000"
TASK_53,MSRCPSP task 53,Source 100_20_23_9_D1.def task 53,35,,MEDIUM,TASK_52,Q7:1,"PROJECT_COMPLETION:0.01190476,Q7_DELIVERY_COMPLETION:0.11111111"
TASK_54,MSRCPSP task 54,Source 100_20_23_9_D1.def task 54,10,,MEDIUM,TASK_53,Q6:2,"PROJECT_COMPLETION:0.01190476,Q6_DELIVERY_COMPLETION:0.08333333"
TASK_55,MSRCPSP task 55,Source 100_20_23_9_D1.def task 55,28,,MEDIUM,TASK_53,Q2:3,"PROJECT_COMPLETION:0.01190476,Q2_DELIVERY_COMPLETION:0.20000000"
TASK_56,MSRCPSP task 56,Source 100_20_23_9_D1.def task 56,40,,MEDIUM,TASK_53,Q3:2,"PROJECT_COMPLETION:0.01190476,Q3_DELIVERY_COMPLETION:0.10000000"
TASK_57,MSRCPSP task 57,Source 100_20_23_9_D1.def task 57,38,,MEDIUM,TASK_53,Q8:2,"PROJECT_COMPLETION:0.01190476,Q8_DELIVERY_COMPLETION:0.07692308"
TASK_58,MSRCPSP task 58,Source 100_20_23_9_D1.def task 58,32,,MEDIUM,,Q0:1,"PROJECT_COMPLETION:0.01190476,Q0_DELIVERY_COMPLETION:0.07692308"
TASK_59,MSRCPSP task 59,Source 100_20_23_9_D1.def task 59,36,,MEDIUM,,Q6:3,"PROJECT_COMPLETION:0.01190476,Q6_DELIVERY_COMPLETION:0.08333333"
TASK_60,MSRCPSP task 60,Source 100_20_23_9_D1.def task 60,20,,MEDIUM,,Q6:1,"PROJECT_COMPLETION:0.01190476,Q6_DELIVERY_COMPLETION:0.08333333"
TASK_61,MSRCPSP task 61,Source 100_20_23_9_D1.def task 61,37,,MEDIUM,,Q5:3,"PROJECT_COMPLETION:0.01190476,Q5_DELIVERY_COMPLETION:0.16666667"
TASK_62,MSRCPSP task 62,Source 100_20_23_9_D1.def task 62,39,,MEDIUM,,Q8:3,"PROJECT_COMPLETION:0.01190476,Q8_DELIVERY_COMPLETION:0.07692308"
TASK_63,MSRCPSP task 63,Source 100_20_23_9_D1.def task 63,18,,MEDIUM,,Q7:2,"PROJECT_COMPLETION:0.01190476,Q7_DELIVERY_COMPLETION:0.11111111"
TASK_64,MSRCPSP task 64,Source 100_20_23_9_D1.def task 64,27,,MEDIUM,TASK_63,Q0:1,"PROJECT_COMPLETION:0.01190476,Q0_DELIVERY_COMPLETION:0.07692308"
TASK_65,MSRCPSP task 65,Source 100_20_23_9_D1.def task 65,36,,MEDIUM,TASK_64,Q1:3,"PROJECT_COMPLETION:0.01190476,Q1_DELIVERY_COMPLETION:0.12500000"
TASK_66,MSRCPSP task 66,Source 100_20_23_9_D1.def task 66,31,,MEDIUM,,Q8:2,"PROJECT_COMPLETION:0.01190476,Q8_DELIVERY_COMPLETION:0.07692308"
TASK_67,MSRCPSP task 67,Source 100_20_23_9_D1.def task 67,38,,MEDIUM,,Q4:1,"PROJECT_COMPLETION:0.01190476,Q4_DELIVERY_COMPLETION:0.12500000"
TASK_68,MSRCPSP task 68,Source 100_20_23_9_D1.def task 68,29,,MEDIUM,,Q4:1,"PROJECT_COMPLETION:0.01190476,Q4_DELIVERY_COMPLETION:0.12500000"
TASK_69,MSRCPSP task 69,Source 100_20_23_9_D1.def task 69,37,,MEDIUM,,Q4:2,"PROJECT_COMPLETION:0.01190476,Q4_DELIVERY_COMPLETION:0.12500000"
TASK_70,MSRCPSP task 70,Source 100_20_23_9_D1.def task 70,31,,MEDIUM,TASK_54,Q4:1,"PROJECT_COMPLETION:0.01190476,Q4_DELIVERY_COMPLETION:0.12500000"
TASK_71,MSRCPSP task 71,Source 100_20_23_9_D1.def task 71,19,,MEDIUM,,Q3:2,"PROJECT_COMPLETION:0.01190476,Q3_DELIVERY_COMPLETION:0.10000000"
TASK_72,MSRCPSP task 72,Source 100_20_23_9_D1.def task 72,39,,MEDIUM,,Q7:3,"PROJECT_COMPLETION:0.01190476,Q7_DELIVERY_COMPLETION:0.11111111"
TASK_73,MSRCPSP task 73,Source 100_20_23_9_D1.def task 73,40,,MEDIUM,,Q4:3,"PROJECT_COMPLETION:0.01190476,Q4_DELIVERY_COMPLETION:0.12500000"
TASK_74,MSRCPSP task 74,Source 100_20_23_9_D1.def task 74,20,,MEDIUM,,Q3:1,"PROJECT_COMPLETION:0.01190476,Q3_DELIVERY_COMPLETION:0.10000000"
TASK_75,MSRCPSP task 75,Source 100_20_23_9_D1.def task 75,36,,MEDIUM,,Q6:1,"PROJECT_COMPLETION:0.01190476,Q6_DELIVERY_COMPLETION:0.08333333"
TASK_76,MSRCPSP task 76,Source 100_20_23_9_D1.def task 76,39,,MEDIUM,,Q5:3,"PROJECT_COMPLETION:0.01190476,Q5_DELIVERY_COMPLETION:0.16666667"
TASK_77,MSRCPSP task 77,Source 100_20_23_9_D1.def task 77,21,,MEDIUM,,Q3:2,"PROJECT_COMPLETION:0.01190476,Q3_DELIVERY_COMPLETION:0.10000000"
TASK_78,MSRCPSP task 78,Source 100_20_23_9_D1.def task 78,31,,MEDIUM,,Q3:1,"PROJECT_COMPLETION:0.01190476,Q3_DELIVERY_COMPLETION:0.10000000"
TASK_79,MSRCPSP task 79,Source 100_20_23_9_D1.def task 79,38,,MEDIUM,,Q0:1,"PROJECT_COMPLETION:0.01190476,Q0_DELIVERY_COMPLETION:0.07692308"
TASK_80,MSRCPSP task 80,Source 100_20_23_9_D1.def task 80,19,,MEDIUM,,Q8:3,"PROJECT_COMPLETION:0.01190476,Q8_DELIVERY_COMPLETION:0.07692308"
TASK_81,MSRCPSP task 81,Source 100_20_23_9_D1.def task 81,14,,MEDIUM,"TASK_72,TASK_79",Q8:2,"PROJECT_COMPLETION:0.01190476,Q8_DELIVERY_COMPLETION:0.07692308"
TASK_82,MSRCPSP task 82,Source 100_20_23_9_D1.def task 82,35,,MEDIUM,TASK_79,Q8:3,"PROJECT_COMPLETION:0.01190476,Q8_DELIVERY_COMPLETION:0.07692308"
TASK_83,MSRCPSP task 83,Source 100_20_23_9_D1.def task 83,12,,MEDIUM,,Q4:3,"PROJECT_COMPLETION:0.01190476,Q4_DELIVERY_COMPLETION:0.12500000"
TASK_84,MSRCPSP task 84,Source 100_20_23_9_D1.def task 84,14,,MEDIUM,,Q0:1,"PROJECT_COMPLETION:0.01190476,Q0_DELIVERY_COMPLETION:0.07692308"
