kpiCode,targetValue,priority,weight,warningThreshold,criticalThreshold,appliesToType,appliesToTeamId,appliesToTeamName
PROJECT_COMPLETION,100,HIGH,0.3,80,60,PROJECT,MSRCPSP_100_20_512_10_A,MSRCPSP 100_20_512_10_A
Q0_DELIVERY_COMPLETION,100,MEDIUM,0.07,80,60,PROJECT,MSRCPSP_100_20_512_10_A,MSRCPSP 100_20_512_10_A
Q1_DELIVERY_COMPLETION,100,MEDIUM,0.07,80,60,PROJECT,MSRCPSP_100_20_512_10_A,MSRCPSP 100_20_512_10_A
Q2_DELIVERY_COMPLETION,100,MEDIUM,0.07,80,60,PROJECT,MSRCPSP_100_20_512_10_A,MSRCPSP 100_20_512_10_A
Q3_DELIVERY_COMPLETION,100,MEDIUM,0.07,80,60,PROJECT,MSRCPSP_100_20_512_10_A,MSRCPSP 100_20_512_10_A
Q4_DELIVERY_COMPLETION,100,MEDIUM,0.07,80,60,PROJECT,MSRCPSP_100_20_512_10_A,MSRCPSP 100_20_512_10_A
Q5_DELIVERY_COMPLETION,100,MEDIUM,0.07,80,60,PROJECT,MSRCPSP_100_20_512_10_A,MSRCPSP 100_20_512_10_A
Q6_DELIVERY_COMPLETION,100,MEDIUM,0.07,80,60,PROJECT,MSRCPSP_100_20_512_10_A,MSRCPSP 100_20_512_10_A
Q7_DELIVERY_COMPLETION,100,MEDIUM,0.07,80,60,PROJECT,MSRCPSP_100_20_512_10_A,MSRCPSP 100_20_512_10_A
Q8_DELIVERY_COMPLETION,100,MEDIUM,0.07,80,60,PROJECT,MSRCPSP_100_20_512_10_A,MSRCPSP 100_20_512_10_A
Q9_DELIVERY_COMPLETION,100,MEDIUM,0.07,80,60,PROJECT,MSRCPSP_100_20_512_10_A,MSRCPSP 100_20_512_10_A
