"kpiCode","targetValue","priority","weight","warningThreshold","criticalThreshold","appliesToType","appliesToTeamId","appliesToTeamName"
"PROJECT_COMPLETION","100","HIGH","0.3","80","60","PROJECT","MSRCPSP_100_5_20_9_D3","MSRCPSP 100_5_20_9_D3"
"Q0_DELIVERY_COMPLETION","100","MEDIUM","0.07777778","80","60","PROJECT","MSRCPSP_100_5_20_9_D3","MSRCPSP 100_5_20_9_D3"
"Q1_DELIVERY_COMPLETION","100","MEDIUM","0.07777778","80","60","PROJECT","MSRCPSP_100_5_20_9_D3","MSRCPSP 100_5_20_9_D3"
"Q2_DELIVERY_COMPLETION","100","MEDIUM","0.07777778","80","60","PROJECT","MSRCPSP_100_5_20_9_D3","MSRCPSP 100_5_20_9_D3"
"Q3_DELIVERY_COMPLETION","100","MEDIUM","0.07777778","80","60","PROJECT","MSRCPSP_100_5_20_9_D3","MSRCPSP 100_5_20_9_D3"
"Q4_DELIVERY_COMPLETION","100","MEDIUM","0.07777778","80","60","PROJECT","MSRCPSP_100_5_20_9_D3","MSRCPSP 100_5_20_9_D3"
"Q5_DELIVERY_COMPLETION","100","MEDIUM","0.07777778","80","60","PROJECT","MSRCPSP_100_5_20_9_D3","MSRCPSP 100_5_20_9_D3"
"Q6_DELIVERY_COMPLETION","100","MEDIUM","0.07777778","80","60","PROJECT","MSRCPSP_100_5_20_9_D3","MSRCPSP 100_5_20_9_D3"
"Q7_DELIVERY_COMPLETION","100","MEDIUM","0.07777778","80","60","PROJECT","MSRCPSP_100_5_20_9_D3","MSRCPSP 100_5_20_9_D3"
"Q8_DELIVERY_COMPLETION","100","MEDIUM","0.07777778","80","60","PROJECT","MSRCPSP_100_5_20_9_D3","MSRCPSP 100_5_20_9_D3"
