taskCode,taskName,description,estimatedHours,deadline,priority,dependencies,requiredSkills,kpiImpacts
TASK_1,MSRCPSP task 1,Source rawdata/MSRCPSP/Small/15_3_5_3.def task 1,29,,MEDIUM,,Q2:1,"PROJECT_COMPLETION:0.06666667,Q2_DELIVERY_COMPLETION:0.11111111"
TASK_2,MSRCPSP task 2,Source rawdata/MSRCPSP/Small/15_3_5_3.def task 2,30,,MEDIUM,,Q0:3,"PROJECT_COMPLETION:0.06666667,Q0_DELIVERY_COMPLETION:0.33333333"
TASK_3,MSRCPSP task 3,Source rawdata/MSRCPSP/Small/15_3_5_3.def task 3,16,,MEDIUM,,Q2:1,"PROJECT_COMPLETION:0.06666667,Q2_DELIVERY_COMPLETION:0.11111111"
TASK_4,MSRCPSP task 4,Source rawdata/MSRCPSP/Small/15_3_5_3.def task 4,36,,MEDIUM,,Q2:3,"PROJECT_COMPLETION:0.06666667,Q2_DELIVERY_COMPLETION:0.11111111"
TASK_5,MSRCPSP task 5,Source rawdata/MSRCPSP/Small/15_3_5_3.def task 5,18,,MEDIUM,,Q1:3,"PROJECT_COMPLETION:0.06666667,Q1_DELIVERY_COMPLETION:0.33333333"
TASK_6,MSRCPSP task 6,Source rawdata/MSRCPSP/Small/15_3_5_3.def task 6,9,,MEDIUM,,Q2:2,"PROJECT_COMPLETION:0.06666667,Q2_DELIVERY_COMPLETION:0.11111111"
TASK_7,MSRCPSP task 7,Source rawdata/MSRCPSP/Small/15_3_5_3.def task 7,31,,MEDIUM,,Q0:1,"PROJECT_COMPLETION:0.06666667,Q0_DELIVERY_COMPLETION:0.33333333"
TASK_8,MSRCPSP task 8,Source rawdata/MSRCPSP/Small/15_3_5_3.def task 8,23,,MEDIUM,TASK_4,Q2:3,"PROJECT_COMPLETION:0.06666667,Q2_DELIVERY_COMPLETION:0.11111111"
TASK_9,MSRCPSP task 9,Source rawdata/MSRCPSP/Small/15_3_5_3.def task 9,35,,MEDIUM,,Q2:3,"PROJECT_COMPLETION:0.06666667,Q2_DELIVERY_COMPLETION:0.11111111"
TASK_10,MSRCPSP task 10,Source rawdata/MSRCPSP/Small/15_3_5_3.def task 10,28,,MEDIUM,,Q0:1,"PROJECT_COMPLETION:0.06666667,Q0_DELIVERY_COMPLETION:0.33333333"
TASK_11,MSRCPSP task 11,Source rawdata/MSRCPSP/Small/15_3_5_3.def task 11,24,,MEDIUM,,Q2:3,"PROJECT_COMPLETION:0.06666667,Q2_DELIVERY_COMPLETION:0.11111111"
TASK_12,MSRCPSP task 12,Source rawdata/MSRCPSP/Small/15_3_5_3.def task 12,25,,MEDIUM,,Q1:3,"PROJECT_COMPLETION:0.06666667,Q1_DELIVERY_COMPLETION:0.33333333"
TASK_13,MSRCPSP task 13,Source rawdata/MSRCPSP/Small/15_3_5_3.def task 13,24,,MEDIUM,"TASK_1,TASK_7",Q2:3,"PROJECT_COMPLETION:0.06666667,Q2_DELIVERY_COMPLETION:0.11111111"
TASK_14,MSRCPSP task 14,Source rawdata/MSRCPSP/Small/15_3_5_3.def task 14,33,,MEDIUM,TASK_13,Q1:3,"PROJECT_COMPLETION:0.06666667,Q1_DELIVERY_COMPLETION:0.33333333"
TASK_15,MSRCPSP task 15,Source rawdata/MSRCPSP/Small/15_3_5_3.def task 15,12,,MEDIUM,,Q2:3,"PROJECT_COMPLETION:0.06666667,Q2_DELIVERY_COMPLETION:0.11111111"
