kpiCode,targetValue,priority,weight,warningThreshold,criticalThreshold,appliesToType,appliesToTeamId,appliesToTeamName
PROJECT_COMPLETION,100,HIGH,0.3,80,60,PROJECT,MSRCPSP_200_40_130_9_D4,MSRCPSP 200_40_130_9_D4
Q0_DELIVERY_COMPLETION,100,MEDIUM,0.07777778,80,60,PROJECT,MSRCPSP_200_40_130_9_D4,MSRCPSP 200_40_130_9_D4
Q1_DELIVERY_COMPLETION,100,MEDIUM,0.07777778,80,60,PROJECT,MSRCPSP_200_40_130_9_D4,MSRCPSP 200_40_130_9_D4
Q2_DELIVERY_COMPLETION,100,MEDIUM,0.07777778,80,60,PROJECT,MSRCPSP_200_40_130_9_D4,MSRCPSP 200_40_130_9_D4
Q3_DELIVERY_COMPLETION,100,MEDIUM,0.07777778,80,60,PROJECT,MSRCPSP_200_40_130_9_D4,MSRCPSP 200_40_130_9_D4
Q4_DELIVERY_COMPLETION,100,MEDIUM,0.07777778,80,60,PROJECT,MSRCPSP_200_40_130_9_D4,MSRCPSP 200_40_130_9_D4
Q5_DELIVERY_COMPLETION,100,MEDIUM,0.07777778,80,60,PROJECT,MSRCPSP_200_40_130_9_D4,MSRCPSP 200_40_130_9_D4
Q6_DELIVERY_COMPLETION,100,MEDIUM,0.07777778,80,60,PROJECT,MSRCPSP_200_40_130_9_D4,MSRCPSP 200_40_130_9_D4
Q7_DELIVERY_COMPLETION,100,MEDIUM,0.07777778,80,60,PROJECT,MSRCPSP_200_40_130_9_D4,MSRCPSP 200_40_130_9_D4
Q8_DELIVERY_COMPLETION,100,MEDIUM,0.07777778,80,60,PROJECT,MSRCPSP_200_40_130_9_D4,MSRCPSP 200_40_130_9_D4
