taskCode,taskName,description,estimatedHours,deadline,priority,dependencies,requiredSkills,kpiImpacts
TASK_1,MSRCPSP task 1,Source rawdata/MSRCPSP/GenBig/500_20_512_10_A.def task 1,38,,MEDIUM,,Q1:1,"PROJECT_COMPLETION:0.00200000,Q1_DELIVERY_COMPLETION:0.02000000"
TASK_2,MSRCPSP task 2,Source rawdata/MSRCPSP/GenBig/500_20_512_10_A.def task 2,31,,MEDIUM,,Q7:3,"PROJECT_COMPLETION:0.00200000,Q7_DELIVERY_COMPLETION:0.01923077"
TASK_3,MSRCPSP task 3,Source rawdata/MSRCPSP/GenBig/500_20_512_10_A.def task 3,12,,MEDIUM,,Q8:3,"PROJECT_COMPLETION:0.00200000,Q8_DELIVERY_COMPLETION:0.01492537"
TASK_4,MSRCPSP task 4,Source rawdata/MSRCPSP/GenBig/500_20_512_10_A.def task 4,10,,MEDIUM,,Q8:3,"PROJECT_COMPLETION:0.00200000,Q8_DELIVERY_COMPLETION:0.01492537"
TASK_5,MSRCPSP task 5,Source rawdata/MSRCPSP/GenBig/500_20_512_10_A.def task 5,36,,MEDIUM,,Q3:3,"PROJECT_COMPLETION:0.00200000,Q3_DELIVERY_COMPLETION:0.01449275"
TASK_6,MSRCPSP task 6,Source rawdata/MSRCPSP/GenBig/500_20_512_10_A.def task 6,26,,MEDIUM,,Q6:1,"PROJECT_COMPLETION:0.00200000,Q6_DELIVERY_COMPLETION:0.02631579"
TASK_7,MSRCPSP task 7,Source rawdata/MSRCPSP/GenBig/500_20_512_10_A.def task 7,33,,MEDIUM,,Q8:2,"PROJECT_COMPLETION:0.00200000,Q8_DELIVERY_COMPLETION:0.01492537"
TASK_8,MSRCPSP task 8,Source rawdata/MSRCPSP/GenBig/500_20_512_10_A.def task 8,15,,MEDIUM,,Q0:3,"PROJECT_COMPLETION:0.00200000,Q0_DELIVERY_COMPLETION:0.03571429"
TASK_9,MSRCPSP task 9,Source rawdata/MSRCPSP/GenBig/500_20_512_10_A.def task 9,39,,MEDIUM,,Q3:2,"PROJECT_COMPLETION:0.00200000,Q3_DELIVERY_COMPLETION:0.01449275"
TASK_10,MSRCPSP task 10,Source rawdata/MSRCPSP/GenBig/500_20_512_10_A.def task 10,11,,MEDIUM,,Q7:3,"PROJECT_COMPLETION:0.00200000,Q7_DELIVERY_COMPLETION:0.01923077"
TASK_11,MSRCPSP task 11,Source rawdata/MSRCPSP/GenBig/500_20_512_10_A.def task 11,32,,MEDIUM,,Q3:1,"PROJECT_COMPLETION:0.00200000,Q3_DELIVERY_COMPLETION:0.01449275"
TASK_12,MSRCPSP task 12,Source rawdata/MSRCPSP/GenBig/500_20_512_10_A.def task 12,9,,MEDIUM,,Q8:1,"PROJECT_COMPLETION:0.00200000,Q8_DELIVERY_COMPLETION:0.01492537"
TASK_13,MSRCPSP task 13,Source rawdata/MSRCPSP/GenBig/500_20_512_10_A.def task 13,18,,MEDIUM,TASK_10,Q0:2,"PROJECT_COMPLETION:0.00200000,Q0_DELIVERY_COMPLETION:0.03571429"
TASK_14,MSRCPSP task 14,Source rawdata/MSRCPSP/GenBig/500_20_512_10_A.def task 14,30,,MEDIUM,,Q3:1,"PROJECT_COMPLETION:0.00200000,Q3_DELIVERY_COMPLETION:0.01449275"
TASK_15,MSRCPSP task 15,Source rawdata/MSRCPSP/GenBig/500_20_512_10_A.def task 15,23,,MEDIUM,,Q5:3,"PROJECT_COMPLETION:0.00200000,Q5_DELIVERY_COMPLETION:0.01562500"
TASK_16,MSRCPSP task 16,Source rawdata/MSRCPSP/GenBig/500_20_512_10_A.def task 16,15,,MEDIUM,,Q1:1,"PROJECT_COMPLETION:0.00200000,Q1_DELIVERY_COMPLETION:0.02000000"
TASK_17,MSRCPSP task 17,Source rawdata/MSRCPSP/GenBig/500_20_512_10_A.def task 17,39,,MEDIUM,,Q3:4,"PROJECT_COMPLETION:0.00200000,Q3_DELIVERY_COMPLETION:0.01449275"
