dataset,algorithm,checkpoint,numSeeds,meanBestScore,stdBestScore
msrcpsp_10_7_10_7,GA,250,30,90.416667,1.758475
msrcpsp_10_7_10_7,GA,500,30,93.636333,0.770028
msrcpsp_10_7_10_7,GA,750,30,94.427,0.435937
msrcpsp_10_7_10_7,GA,1000,30,94.675667,0.364734
msrcpsp_10_7_10_7,HS,250,30,91.131,1.428583
msrcpsp_10_7_10_7,HS,500,30,93.278,0.907577
msrcpsp_10_7_10_7,HS,750,30,94.237,0.712555
msrcpsp_10_7_10_7,HS,1000,30,94.467,0.535158
msrcpsp_10_7_10_7,Basic HS150-GA850,250,30,90.243667,1.802161
msrcpsp_10_7_10_7,Basic HS150-GA850,500,30,93.914333,0.771128
msrcpsp_10_7_10_7,Basic HS150-GA850,750,30,94.722333,0.371974
msrcpsp_10_7_10_7,Basic HS150-GA850,1000,30,94.765,0.34934
msrcpsp_10_7_10_7,Skill-Guided HS150-GA850,250,30,91.993,1.363361
msrcpsp_10_7_10_7,Skill-Guided HS150-GA850,500,30,94.591667,0.341498
msrcpsp_10_7_10_7,Skill-Guided HS150-GA850,750,30,94.815333,0.218978
msrcpsp_10_7_10_7,Skill-Guided HS150-GA850,1000,30,94.858,0.193914
msrcpsp_100_20_512_10_A,GA,250,30,71.194667,0.974313
msrcpsp_100_20_512_10_A,GA,500,30,74.837667,1.047778
msrcpsp_100_20_512_10_A,GA,750,30,77.539333,1.038271
msrcpsp_100_20_512_10_A,GA,1000,30,79.814667,0.960582
msrcpsp_100_20_512_10_A,HS,250,30,71.018667,1.056105
msrcpsp_100_20_512_10_A,HS,500,30,72.618,0.879676
msrcpsp_100_20_512_10_A,HS,750,30,73.377667,0.982224
msrcpsp_100_20_512_10_A,HS,1000,30,74.339,0.639152
msrcpsp_100_20_512_10_A,Basic HS150-GA850,250,30,70.776,1.213633
msrcpsp_100_20_512_10_A,Basic HS150-GA850,500,30,74.771333,1.034024
msrcpsp_100_20_512_10_A,Basic HS150-GA850,750,30,78.404667,1.127557
msrcpsp_100_20_512_10_A,Basic HS150-GA850,1000,30,80.321667,1.133132
msrcpsp_100_20_512_10_A,Skill-Guided HS150-GA850,250,30,73.176,1.094674
msrcpsp_100_20_512_10_A,Skill-Guided HS150-GA850,500,30,81.145333,1.062026
msrcpsp_100_20_512_10_A,Skill-Guided HS150-GA850,750,30,86.594667,1.052989
msrcpsp_100_20_512_10_A,Skill-Guided HS150-GA850,1000,30,89.680333,0.764458
msrcpsp_200_20_150_9_D5,GA,250,30,74.645667,0.902385
msrcpsp_200_20_150_9_D5,GA,500,30,77.404,0.881955
msrcpsp_200_20_150_9_D5,GA,750,30,79.394,0.901213
msrcpsp_200_20_150_9_D5,GA,1000,30,80.676,0.946652
msrcpsp_200_20_150_9_D5,HS,250,30,75.694667,1.016372
msrcpsp_200_20_150_9_D5,HS,500,30,76.854,0.765095
msrcpsp_200_20_150_9_D5,HS,750,30,77.435333,0.610638
msrcpsp_200_20_150_9_D5,HS,1000,30,77.753,0.568267
msrcpsp_200_20_150_9_D5,Basic HS150-GA850,250,30,75.191,1.020537
msrcpsp_200_20_150_9_D5,Basic HS150-GA850,500,30,77.504333,0.943461
msrcpsp_200_20_150_9_D5,Basic HS150-GA850,750,30,79.765667,1.101807
msrcpsp_200_20_150_9_D5,Basic HS150-GA850,1000,30,81.129333,1.001152
msrcpsp_200_20_150_9_D5,Skill-Guided HS150-GA850,250,30,77.521,0.946489
msrcpsp_200_20_150_9_D5,Skill-Guided HS150-GA850,500,30,84.200333,0.799147
msrcpsp_200_20_150_9_D5,Skill-Guided HS150-GA850,750,30,88.543667,0.617918
msrcpsp_200_20_150_9_D5,Skill-Guided HS150-GA850,1000,30,90.598667,0.42129
msrcpsp_500_20_512_10_A,GA,250,30,35.048667,0.489563
msrcpsp_500_20_512_10_A,GA,500,30,36.778667,0.670143
msrcpsp_500_20_512_10_A,GA,750,30,37.854333,0.481336
msrcpsp_500_20_512_10_A,GA,1000,30,38.893333,0.536913
msrcpsp_500_20_512_10_A,HS,250,30,34.233333,0.409083
msrcpsp_500_20_512_10_A,HS,500,30,34.993333,0.31284
msrcpsp_500_20_512_10_A,HS,750,30,35.319333,0.341252
msrcpsp_500_20_512_10_A,HS,1000,30,35.704667,0.48303
msrcpsp_500_20_512_10_A,Basic HS150-GA850,250,30,34.212,0.492303
msrcpsp_500_20_512_10_A,Basic HS150-GA850,500,30,36.298,0.553211
msrcpsp_500_20_512_10_A,Basic HS150-GA850,750,30,38.029667,0.586989
msrcpsp_500_20_512_10_A,Basic HS150-GA850,1000,30,39.093333,0.574899
msrcpsp_500_20_512_10_A,Skill-Guided HS150-GA850,250,30,35.934667,0.540504
msrcpsp_500_20_512_10_A,Skill-Guided HS150-GA850,500,30,41.196333,0.623936
msrcpsp_500_20_512_10_A,Skill-Guided HS150-GA850,750,30,45.847,0.622442
msrcpsp_500_20_512_10_A,Skill-Guided HS150-GA850,1000,30,49.904667,0.562878
